ID,Speaker,utterance,annotation,list-ID
343,FAT,"non celui-ci il est normal , là ici , là , c'est quoi tout ça là ? [media]","[NULL,NULL,NULL]",2
344,INV,c'est quoi tous les boutons ? [media],"[NULL,NULL,NULL]",1
344,INV,c'est quoi tous les boutons ? [media],"[NULL,NULL,NULL]",2
345,FAT,ça là c'est quoi ? [media],"[NULL,NULL,NULL]",1
345,FAT,ça là c'est quoi ? [media],"[NULL,NULL,NULL]",2
346,INV,c'est quoi ? [media],"[NULL,NULL,NULL]",1
346,INV,c'est quoi ? [media],"[NULL,NULL,NULL]",2
347,FAT,c'est des boutons ? [media],"[NULL,NULL,NULL]",1
347,FAT,c'est des boutons ? [media],"[NULL,NULL,NULL]",2
348,FAT,"c'est des boutons mon bonhomme , oui ? [media]","[NULL,NULL,NULL]",1
348,FAT,"c'est des boutons mon bonhomme , oui ? [media]","[NULL,NULL,NULL]",2
349,CHI,non c'est parti les boutons ! [media],"[NULL,NULL,NULL]",1
349,CHI,non c'est parti les boutons ! [media],"[NULL,NULL,NULL]",2
350,FAT,"ils sont partis les boutons , il y a encore des petits points ! [media]","[NULL,NULL,NULL]",1
350,FAT,"ils sont partis les boutons , il y a encore des petits points ! [media]","[NULL,NULL,NULL]",2
351,FAT,qu'est-ce tu fais là ? [media],"[NULL,NULL,NULL]",1
351,FAT,qu'est-ce tu fais là ? [media],"[NULL,NULL,NULL]",2
352,CHI,éteins la lumière ! [media],"[NULL,NULL,NULL]",1
352,CHI,éteins la lumière ! [media],"[NULL,NULL,NULL]",2
353,FAT,on va se doucher ? [media],"[NULL,NULL,NULL]",1
353,FAT,on va se doucher ? [media],"[NULL,NULL,NULL]",2
354,CHI,www . [media],"[NULL,NULL,NULL]",1
354,CHI,www . [media],"[NULL,NULL,NULL]",2
355,CHI,oh papa ! [media],"[NULL,NULL,NULL]",1
355,CHI,oh papa ! [media],"[NULL,NULL,NULL]",2
356,FAT,qu'est-ce t'entends ? [media],"[NULL,NULL,NULL]",1
356,FAT,qu'est-ce t'entends ? [media],"[NULL,NULL,NULL]",2
357,CHI,xxx . [media],"[NULL,NULL,NULL]",1
357,CHI,xxx . [media],"[NULL,NULL,NULL]",2
358,FAT,t'entends le lutin grognon ? [media],"[NULL,NULL,NULL]",1
358,FAT,t'entends le lutin grognon ? [media],"[NULL,NULL,NULL]",2
359,FAT,si ! [media],"[NULL,NULL,NULL]",1
359,FAT,si ! [media],"[NULL,NULL,NULL]",2
360,CHI,xxx . [media],"[NULL,NULL,NULL]",1
360,CHI,xxx . [media],"[NULL,NULL,NULL]",2
361,FAT,je crois qu'il arrive le lutin grognon ! [media],"[NULL,NULL,NULL]",1
361,FAT,je crois qu'il arrive le lutin grognon ! [media],"[NULL,NULL,NULL]",2
362,CHI,non ! [media],"[NULL,NULL,NULL]",1
362,CHI,non ! [media],"[NULL,NULL,NULL]",2
363,FAT,il faut vite que tu ailles te doucher ! [media],"[NULL,NULL,NULL]",1
363,FAT,il faut vite que tu ailles te doucher ! [media],"[NULL,NULL,NULL]",2
364,CHI,ah il y a maman ! [media],"[NULL,NULL,NULL]",1
364,CHI,ah il y a maman ! [media],"[NULL,NULL,NULL]",2
365,FAT,c'est maman ? [media],"[NULL,NULL,NULL]",1
365,FAT,c'est maman ? [media],"[NULL,NULL,NULL]",2
366,FAT,la lumière ! [media],"[NULL,NULL,NULL]",1
366,FAT,la lumière ! [media],"[NULL,NULL,NULL]",2
367,CHI,la lumière ! [media],"[NULL,NULL,NULL]",1
367,CHI,la lumière ! [media],"[NULL,NULL,NULL]",2
368,FAT,"allez , on va se doucher Adrien ! [media]","[NULL,NULL,NULL]",1
368,FAT,"allez , on va se doucher Adrien ! [media]","[NULL,NULL,NULL]",2
369,CHI,non éteins la lumière ! [media],"[NULL,NULL,NULL]",1
369,CHI,non éteins la lumière ! [media],"[NULL,NULL,NULL]",2
370,FAT,"je compte jusqu'à trois pour qu'on aille se doucher Adrien , un . [media]","[NULL,NULL,NULL]",1
